track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_country_prob,predicted_edm_prob,predicted_hip-hop_prob,predicted_latin_prob,predicted_pop_prob,predicted_rnb_prob,predicted_rock_prob,euclidean_dist,manhattan_dist,cosine_dist,cosine_dist_mod1,cosine_dist_mod2
18HOjcvTVV7W8YzBuOsAPS,Un Verano Sin Ti,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,148143,2022-05-06,85,0.503,0.496,5.0,0.7045353490440196,0.0,0.0556,0.693,0.0,0.123,0.412,0.8381387949890632,4,pop,0.3967326485683889,0.2312958145761929,0.0022044098428019,0.0043757511348978,0.04092339144732,0.3967326485683889,0.302884624335665,0.0215833600947335,0.128,0.128,0.0160680857631885,0.2114342366529917,0.0367279833102338
6MF5JoJYj5uK07Si6fRAPM,HEAL YOUR HEART (INTERLUDE),3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,0PHMNbcgHfzSUALlfk7wGg,75043,2022-07-08,65,0.287,0.332,1.0,0.6759948866162738,0.0,0.0433,0.678,0.00375,0.11,0.204,0.781098201857796,4,pop,0.6805108222227851,0.1127533683109431,0.0027965847250087,0.0040389514999977,0.0163256945389935,0.6805108222227851,0.1604503939692902,0.0231241847329813,0.0879999999999998,0.088,0.0164653338095555,0.4450056263879074,0.0935334407121402
4AYtqFyFbX0Xkc2wtcygTr,Soon You’ll Get Better (feat. The Chicks),06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,201586,2019-08-23,67,0.433,0.182,0.0,0.6088539350822587,1.0,0.0641,0.907,0.0,0.123,0.421,0.949674743629804,4,pop,0.8716967845985553,0.0395502195038859,0.000183361005393,0.0005534034052847,0.0148212117268223,0.8716967845985553,0.0724702478368906,0.000724771923168,0.058,0.0579999999999999,0.0166610448634623,0.5778852425269998,0.1178959648184108
3NqBxTOMCJ3zW9CIP51td4,Jugaste y Sufrí,0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,7C8Wi2KmO6MqPYZqNuhZ1W,275194,2020-12-18,81,0.39,0.499,7.0,0.7419130724766563,1.0,0.0381,0.632,0.000497,0.115,0.34,0.9080873789165694,4,pop,0.6110457056892195,0.2325361273227925,0.0019428367308983,0.003235071343199,0.0316675624897061,0.6110457056892195,0.0923399532708942,0.0272327431532901,0.015000000000001,0.015,0.0167508804760556,0.4997953842491741,0.0804244068275216
5ajjAnNRh8bxFvaVHzpPjh,Reckless,2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,5lVImnUah94yoxXy2H1qo7,203384,2021-06-04,80,0.386,0.426,3.0,0.7734826589595375,1.0,0.0363,0.807,0.0,0.14,0.261,0.794165270005397,4,pop,0.7878706908658127,0.0684580032996528,0.0033652632509155,0.0039362585742858,0.0303785847571249,0.7878706908658127,0.0995298356698741,0.006461363582334,0.0110000000000017,0.011,0.0178270406708489,0.5324499294507306,0.105657501134787
2HD7DoEe9FdtvGdAdQIv5W,Oh Holy Night,7AzjETXRUKNRSJHMW9GIqd,Nina Nesbitt,6xKaYRM2uVDkOEDd0I3L40,227887,2018-11-19,25,0.324,0.197,8.0,0.6748554913294798,1.0,0.0337,0.801,0.0,0.115,0.338,0.7872851745589863,4,pop,0.7429356023734639,0.1269937231776617,0.001360550125163,0.0039520319618371,0.0068837209513316,0.7429356023734639,0.1125847323288931,0.0052896390816493,0.0510000000000002,0.0509999999999999,0.0186574076730595,0.5166475942713014,0.1076015768968244
3cysp2UU6xmV61ZlnQsa8s,Heaven,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,6L3gI00jSEv7LZB7bqt6rq,191813,2018-01-26,44,0.554,0.371,7.0,0.7050633614939973,0.0,0.0361,0.853,0.0,0.0838,0.246,0.9062011760361331,4,pop,0.7537624532591606,0.1476908582377332,0.0015025475295522,0.0021076528825418,0.0458752974890062,0.7537624532591606,0.0445482518937678,0.0045129387082378,0.1790000000000001,0.179,0.0186882372740539,0.5752379228430695,0.1016343309622879
15xWRPHQMeqgdkGzInx3PY,Falling Like The Stars,4IWBUUAFIplrNtaOHcJPRM,James Arthur,6Vd7ZTFfhrtPuiQIqEN8XU,212720,2019-05-10,71,0.296,0.351,6.0,0.6930024455313473,1.0,0.0352,0.823,1.45e-06,0.11,0.19,0.7768712893787458,4,pop,0.6921939520156524,0.0671235060313467,0.0034978097761308,0.0042413262018066,0.0217841552589836,0.6921939520156524,0.1984934491796282,0.0126658015364513,0.0789999999999999,0.079,0.0191026204906574,0.4158277538978645,0.0866298770367764
5lsRkYiIerlfXMMrl4zkJG,Flicker,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,3QLB5s0MY7ERTwh4GpNMkf,258025,2017-10-20,0,0.259,0.312,8.0,0.6851656291685193,1.0,0.0318,0.703,9.32e-06,0.302,0.234,0.8063971820583472,4,pop,0.5824063470032717,0.1522680453116475,0.0019316932987144,0.0045507925275979,0.0126661483654722,0.5824063470032717,0.2076693574890154,0.0385076160042809,0.1159999999999999,0.1159999999999999,0.0197090580623845,0.3616511934373986,0.0704262773843216
6bGMSP3H9YqkmaLnaJTIoF,Hold On,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,366004,2021-11-19,68,0.366,0.364,0.0,0.7409126278345931,1.0,0.0433,0.858,1.15e-05,0.165,0.459,0.7134789648609492,4,pop,0.5095928123620794,0.0282683229936114,0.0004835096923221,0.0039534117849494,0.0065077837261097,0.5095928123620794,0.4483091393452457,0.002885020095682,0.0090000000000014,0.009,0.0198757407002181,0.1772776822588766,0.0456575658275766
