track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
1dXedVdnsXLErIpSB3Pb2C,Ready for More,36,363025,"['4XGTJqsUg5WSOtUYC7sWmW', '49ukBTxilLygQEjsB6Gd1a']","['Arman', 'Starving Yet Full']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
64GDfFPwaOtuC35wrLCBW3,Love You Like A Love Song,25,145181,"['149Azg0nwQ5dDLhr0opGew', '5t46kxwLb7v2uC1aqwqeSS']","['Cuervo', 'MEYSTA']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
53vVaqR9bMIrjpLW1gXdjH,Like U,34,147840,"['255mmOy7BExSaVECpVIPra', '0julpD4J2gGxslPnP4mixL', '3W7z4kMHzw31xAUreTVqvU']","['Juan Galvis', 'RYNAZ', 'Niko Festa']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3liDaXdPROGKquXw9FPfxR,Your Name,29,174500,0wdxxoEOFtvLyYvXY7V6zx,REZarin,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
52kZIOcWwet3DN3had6ztv,Play This Song,38,356363,6wGtVEjgjRBwuDARBiAI1r,CHRIS MØRGAN,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4EPwLnSErXTKwvMjXmpn5d,Teardrops,9,232622,5DLMJoray3Q9uDY0tZ8Nzm,Lasito,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
0iXilGFKTqtsLcu4Q03h56,Touch Me,25,141399,"['1XOwklRW1AGECnhcL0lvfj', '3tDzVbqqTqJmNYEBhKQOyc']","['Gelow', 'DNVX']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
0phkM7ONFHFXxNSSzD3VWk,Forever,48,152460,"['1EtBmvqGOtWnjDgCUFQRqI', '3XC1TzybOz2MUgUybEoUUf', '0mz0ZT7rpJuWFxJ8lnxdB5']","['Rolipso', 'NALYRO', 'Levis Della']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
1ZvSNE7MQcOyoIxHwn6mBp,Floating,20,134824,1zrtALLG8cavle3fFQ0dFH,Cassie Marin,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6kf4RTkDAW6Awj3cZLE4mT,Contigo,34,165884,"['5Jmh8rxXnRXNIhE4M1vQGT', '23WPyLTvehei1DDp3TljK3', '4xbcsPNxMVoMARhhGbhGY2']","['René De La Moné', 'Oliver Barabas', 'IQ-Talo']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6go4J5Yz2kpimPefwfwcOU,My Name - Radio Edit,14,258671,6RyTHGeKnhwXtJVykhfEqA,Don Weber,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
5BcMyA795RE7UrXWkEiOa7,Breakaway,35,196163,7bxAuu4sINh8Rwljqdzwcx,Ben Dolic,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
0N3PV0VBpWrgVgZ6wZVkCn,Dancing With The Devil,22,187468,7c7xyyjqZ4ZUZ84wIMUYbB,Bapti,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
7H4Jvn2xscyIsHmSIQW1as,St. Lynn,37,193000,448VwSmqc6SpRDqK5WYXIt,Bronze Whale,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3AaMkXKz77xKH6JdBiKcW3,Lock Of The Rave,15,175871,"['20LoXYCfkUQLrhGAu0fXqC', '2FLikYDFIrdVwOVDdWg8Mx', '5cBZZuan5Jn4TcIQoh58QV']","['MKJAY', 'Daft Hill', 'JC Stormz']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
05zNKbGdypCUCbuzjWbrY7,Make Me Move,32,168571,"['019NZPass0hE4KID4yxfrk', '2GOqvtSlw1DetJcV3p0fYH']","['Kuyano', 'Valy Mo']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
417W2Dx9QOFnAQpzDarBKk,Shadow - Mad Zach Remix,25,207360,"['4m1yRHUMhvB8gKAJTjK4kO', '3EN8pUGJtYWutzf2fUxrDH', '5BBJhaRxSKP3jeCjIoWdl1', '1RxjZjOSbva0JR7T2LsRve']","['Boombox Cartel', 'Moody Good', 'Calivania', 'Mad Zach']",4,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3QBpyNCcdUx3gJ4TcDUzOJ,Unspoken,43,202560,6PD9LUAfg6H5LFpOaLzpf9,Atakan Onder,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
